,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
味道,-0.006224778,-0.007539341,0.0035325203,0.005803706,-0.0035120773,0.0050497204,0.003127498,0.0045752716,-8.365534e-06,0.006509252,0.0047773686,-0.0065036584,-0.0030227741,-0.0028789593,0.00516104,-0.0014058575,-0.009570366,0.00051830494,0.0037311371,0.004406548,0.005721672,0.0058196317,0.0005427888,-0.0076042446,-0.0034710334,-0.0020258087,-0.001237604,-0.0031836221,0.0023184172,0.0048626363,-0.0026851369,0.008733153,0.0083768265,0.0019174538,-0.0077176956,-0.005379489,-0.0058732186,-0.008760243,0.008574409,0.005893352,0.0048310775,0.0062638926,-0.0055538006,0.0046143215,-0.007998158,0.008751315,-0.009334694,-0.009715116,-0.008006711,0.005083455
特效,-0.015209039,0.0006796863,0.013789332,0.00033720912,-0.0039513553,0.012723714,0.002369771,-0.008004092,-0.007062724,0.001346727,-0.019182635,0.0034919728,0.011403361,0.008867883,0.004822319,-0.0004528935,0.00094588514,0.00026113814,-0.009235255,0.0041897465,0.009059943,0.0046876096,0.00038512226,-0.013999438,0.0005059635,0.005888189,-0.002444502,-0.006717374,0.011436791,-0.009551756,-0.013731014,-0.01504249,-0.0134211145,0.002266703,-0.0028645513,0.021408921,8.303521e-05,-0.012505868,-0.0041332515,-0.0019104916,0.004363949,0.013071653,0.010487964,0.007943743,-0.0046859286,0.0023321372,-0.017817834,-0.00647785,0.005249092,0.0066972203
很棒,-0.015181815,-0.005380748,-0.001553094,-0.007878734,-0.007888267,-0.0016593427,0.009235065,0.0032632768,0.002805487,0.00765557,0.0029357509,-0.008494735,0.0035623268,0.007844233,0.0030734343,-0.0037129833,-0.009393721,0.0008703052,-0.0022205692,-0.008951945,0.00898613,0.006504063,0.0014517654,-0.00188131,-0.00946888,0.0059589082,-0.013106315,-0.0072087543,0.0003227969,-0.0004479205,-0.009140431,-0.010354044,-0.004351259,0.014146119,0.010231612,0.018834675,0.0031988558,-0.009383989,-0.0042582755,0.0014768059,0.005786854,0.009634959,0.0011159844,0.00016727825,-0.01646955,0.0037826486,-0.0019623167,0.005683044,0.0051341965,0.00051582785
地方,-0.016169721,-0.0010448497,0.007706939,-0.012265516,-0.012105455,0.011804612,0.010822298,-0.00925197,-0.0012258235,0.010743224,-0.0040750126,-0.00044389995,0.015826201,-0.00026638992,0.009465204,-0.014824394,0.006903898,0.011488172,0.0006151948,0.009308184,0.013455548,-0.0034367386,0.008780564,-0.0059296917,-0.015757047,-0.0031785932,-0.013244241,-0.0075798854,-0.00096840615,-0.004597538,-0.0012822319,-0.007241585,0.0008274813,0.010095794,0.0012012668,0.014237399,0.0064059966,0.005831138,-0.002279262,0.008656171,0.0018637439,0.0033295723,0.012454928,-0.0048849084,-0.0019458598,0.000996738,-0.015148705,0.0009129967,-0.010738816,-0.0025584386
還蠻,-0.0035067897,-0.008913626,0.0009307024,-0.009923934,-0.010729493,-0.0072583165,-0.0017242911,0.0007951494,0.0031164137,-0.008888116,0.0066736625,0.0098287435,-0.001331697,3.953774e-05,0.0068903156,-0.001458016,-0.0069075017,0.010832289,-0.0046399706,-0.0032204578,0.003443618,0.007141657,0.0012738801,0.003200503,-0.003030994,0.00858263,0.0054359604,-0.002372658,-0.007691764,-0.007068592,0.0037275036,-0.0031230329,0.0035139427,0.012028611,0.009042619,-0.0012316261,-0.007295892,-0.0048469747,-0.0029501747,-0.0041014007,-0.0030344855,0.00080826343,0.0024005903,-0.001193633,0.0021391483,-0.0048775906,-0.00051209383,0.006734337,0.008750436,0.008853976
感覺,-0.014268333,-0.010968084,0.0052770046,-0.006370013,-0.012459317,0.0038094048,0.005177177,-0.018216673,-0.011502888,-0.00061158004,-0.0008470179,-0.0021152697,0.0058867005,0.020677302,0.008659715,-0.013117536,0.0051809675,0.000297088,0.003293493,0.007623688,0.0161635,0.0045568817,0.00012498324,-0.010710339,-0.004867129,-0.0020525204,-0.014165462,0.0051411125,0.009854849,-0.009235274,-0.011635186,-0.019035088,-0.0032671387,0.01144239,0.0065870467,0.024838548,-0.0066892947,-0.014842414,-0.0100695975,0.0043921075,0.001494038,0.0037027125,0.0026686946,-0.011884529,-0.006179656,-0.0018267607,-0.01829348,0.0011026688,-0.004214732,0.0056881746
不合,0.0012973847,0.00062041543,0.001344816,0.00734949,0.008350107,-0.004008791,-0.008101975,0.006098735,-0.009587216,0.0063981377,0.0021549186,-0.0028858052,0.007021709,0.0061249244,-0.0068346853,-0.003994667,0.0010213011,-0.00014155106,-0.005100461,0.0069054244,0.001337332,0.0003152479,0.008207162,-0.0062251426,-0.0012179328,-0.0014921091,-0.006651038,-0.006681801,-0.009492959,0.0006229249,-0.005670227,0.003309895,0.0068038167,0.006696481,0.0004130112,-0.00075355975,0.00923984,-0.0005677842,-0.003678728,0.009597311,-0.0016731368,0.001769045,0.0010550426,-0.002062023,-0.0009626545,-0.0059322133,0.007553194,-0.009296961,-0.0053247237,0.008566146
邏輯,-0.009420954,0.0006626916,0.010743314,-0.012340157,0.00065419683,0.00533442,0.0046085576,0.0041784323,-0.0030937684,0.0048544444,-0.014218054,-0.0032729951,0.006238409,0.008571198,-0.0029790231,0.00516733,0.00405059,-0.005216001,-0.01201599,0.009506294,0.0064229844,-0.007867644,0.004632816,-0.013097151,0.005254132,-0.0021434992,-0.010341475,0.005517411,0.0024995145,-0.010168122,-0.011868131,-0.009939418,-0.0051711025,0.007641572,0.009043264,-0.002088233,-0.009198442,-0.008540194,0.003417489,-0.0039756927,-0.009000143,0.005377235,0.002785974,-0.0023663037,0.00015106659,-0.009547429,-0.0035009584,0.00051244185,-0.00829874,0.006037998
奇異博士,-0.006482307,-0.0043103434,0.0029963688,0.0006859851,-0.010247947,0.005712437,0.007934457,-0.0014274645,-0.0052963397,-0.0038491965,-0.0021811463,0.0030257336,0.009194789,0.008213069,0.0030926354,-0.0067182663,0.0073471623,-0.008613118,-0.0035354828,0.00043529228,-0.007963556,0.0041092634,-0.009016179,-0.00016001984,-0.009224394,0.0010201024,-0.0034603938,-0.0041876812,0.0075376662,0.006845599,-0.0015856465,-0.0015029022,0.0026172742,-0.0005220248,0.0010172199,-0.001174297,-0.0007767895,0.005933027,-0.010067746,0.0025155684,0.0010693312,-0.001201681,-0.003859704,-0.008350595,-0.01026766,0.002736624,0.0019673137,0.009037339,-0.0028762354,0.0007723464
寶石,0.0069625294,-0.000808046,0.0025196036,-0.0074372943,-0.003924678,0.0039549796,-0.0023893218,0.0016911322,0.004430139,-0.004052435,0.00043443876,0.00065328024,0.0060707764,0.0076285247,-2.0432382e-05,0.002041083,-0.009684504,0.0018161965,-0.0035127664,-0.006884549,-0.0047860513,0.008978593,-0.0022203429,-0.0036931778,-0.010265196,-0.0012429283,-0.0044526365,-0.0042166035,-0.0046172566,0.0033865809,-0.0017475295,-0.0038483257,-0.0075211693,0.0045191078,-0.0012676415,-0.008143472,-0.00080366933,-0.008976548,-0.0035663275,-0.0073912535,-0.0041784826,0.0066755004,0.00271874,0.005297143,0.0056183217,0.008346063,-0.0060317144,0.0009186116,-0.0011067274,-0.008094173
